# Instructions and general help: Read first then read row 3 for what to include in each column,# Step 1: Pick a paper from one of the ecosystem spreadsheets.,"# Step 2: Change the dropdown under ""Data"" to ""data pulled"" and it will highlight that paper so no one else pulls data from it.","# Step 3: Copy the author, year, and title, then paste them in this sheet. Paste them into as many rows as there are waterbodies studied.",,"# For example, if a paper measured DNRA rates in two rivers and a reservoir, the author, year, and title will appear on three rows.",# Step 4: Enter the data separately for each waterbody where DNRA rates were measured.,"# When entering data, use underscores to separate words and don't use special characters (e.g., write umol with a u, not a mu, or R will have a hard time)","# Use all lowercase letters except for proper nouns and chemicals (e.g., NH4+)","# Make sure to fill out all fields. If something doesn't apply, write NA",,,"# Lat/long help: if listed in something other than decimal degrees, use this to convert: https://www.pgc.umn.edu/apps/convert/",# Make sure to plug the values you get into Google maps to verify it converted correctly,"# Lat/long will often be in the supplemental data. However, some papers won't report it at all.","# Since we're placing these on a world map, we don't have to be precise with lat/long.","# If they give a general location with a waterbody name, you can find the general vicinity of the study on a map.","# In Google Earth, hold your mouse over the spot and hit shift + ctrl + c to copy the lat/long.","# Go to Tools > Options and change to decimal degrees if it gives you degrees minutes seconds, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author,Year,Title,Waterbody_name,Subrep,Latitude_decimal_degrees,Longitude_decimal_degrees,State_or_province,Country,Ecosystem_type,Fig_3_rates,Fig_4_percent,Field_or_Lab,Study_duration,Natural_or_potential,Manipulation_type,Measurement_method,Measurement_quality,Data_reported,Number_rate_estimates,Replicates_total,DNRA_rate_min,DNRA_rate_max,DNRA_rate_mean,DNRA_rate_SE,DNRA_rate_SD,Units_DNRA_rate,Type_units,Units_based_on,DNRA_percent_removal_min,DNRA_percent_removal_max,DNRA_percent_removal_mean,DNRA_percent_removal_SE,DNRA_percent_removal_SD,Total_nitrate_removal_min,Total_nitrate_removal_max,Total_nitrate_removal_mean,Total_nitrate_removal_SE,Units_nitrate_removal,Dominant_controls,Percent_removal_data,Has_N2_N2O_data,Data_pulled_by,Help_or_fix,Notes,N2_N2O_rate_min,N2_N2O_rate_max,N2_N2O_rate_mean,N2_N2O_rate_SE,Units_N2_N2O_rate
# 1st author et al. or 1st author and 2nd author,# Year published,# Including this so we can distinguish studies published by the same author in the same author,# Don't need to be too particular about this; this helps to distinguish data from studies that measured multiple waterbodies.,,"# Use decimal degrees (e.g., 46.252732). No sign indicates N, - indicates S.","# Use decimal degrees (e.g., -119.477435). No sign indicates E, - indicates W. ","# State, province, or equivalent. Write out name.","# Write out most names, but use USA and UK","# List as lake, reservoir, stream, river, wetland, constructed_wetland, river_floodplain, rice_paddy, etc.",,,"# Study performed in situ in the field or ex situ in the lab. ""Lab"" includes samples collected in the field but incubated in the lab. ""Field"" includes tracers added and collected in the field and analyzed in the lab.","# Be as specific as needed, e.g., summer_2018, 2015-2017, June_2016, etc.",# Enter natural if no manipulation. Enter potential if conditions were manipulated to estimate maximum potential rate. 15-N addition doesn't count as manipulation unless doubling concentration or greater.,"# Enter NA if natural. For potential, options may include nitrate_addition, organic_C_addition, anoxia_induction, etc. 15-N addition doesn't count as manipulation unless doubling concentration or greater.",# Method used to measure DNRA rates,"# Note as high or low; for low, indicate the reason in notes. Measuring NH4+ accumulation and assuming it was DNRA = low.","# Options: actual where values were reported, estimated where values are in figures, digitized where digitized from figures",# Number of rate estimates in waterbody,,# Lowest DNRA rate measured,# Highest DNRA rate measured,# Mean DNRA rate,"# Standard error for mean DNRA rate, usually reported as mean ± SE",,"# Units used to reprort measured DNRA rates. Write with underscores: e.g., umol_NH4+_m-2_h-1",,,# Lowest DNRA as percent of total dissimilatory nitrate removal reported,# Highest DNRA as percent of total dissimilatory nitrate removal reported,# Mean DNRA as percent of total dissimilatory nitrate removal reported,"# Standard error for mean DNRA percent removal, usually reported as mean ± SE",,# Lowest rate of dissimilatory nitrate removal measured,# Highest rate of dissimilatory nitrate removal measured,# Mean rate of dissimilatory nitrate removal measured,"# Standard error for mean rate of dissimilatory nitrate removal, usually reported as mean ± SE",# Units used to report rates of dissim. nitrate removal. Write with underscores.,# Dominant controls on DNRA identified; list separated by commas,# Whether and how calculating DNRA as percent of total dissim removal is possible and how,"# Whether paper reports nitrate reduction to N₂ and N₂O, we can use to calculate total dissim. removal, yes or no",# Your name,# Write help if you are uncertain about something or otherwise need someone else to look at the paper. Write fix to flag an entry you need to fix.,# Use to flag anything unusual. Write as much or as little as seems necessary. We'll have to think about how to handle these. Otherwise just enter NA.,# Lowest rate of NO₃⁻ reduction to N₂ and N₂O measured,# Highest rate of NO₃⁻ reduction to N₂ and N₂O measured,# Mean rate of NO₃⁻ reduction to N₂ and N₂O,"# Standard error for mean rate of NO₃⁻ reduction to N₂ and N₂O, usually reported as mean ± SE","# Units used to reprort measured N₂ and N₂O rates. Write with underscores: e.g., umol_NH4+_m-2_h-1"
Goeyens et al.,1987,NA,NA,,NA,NA,NA,Denmark,marine_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,33,33,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Christensen et al.,2000,NA,NA,,NA,NA,NA,Denmark,estuary_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,0,85,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Koike and Hattori,1978,NA,NA,,NA,NA,NA,Japan,estuary_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,10,61,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Pelegrí et al.,1994,NA,NA,,NA,NA,NA,Denmark,estuary_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,2,3,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Riviera-Monroy,1995,NA,NA,,NA,NA,NA,Mexico,mangrove_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,3,100,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Tobias et al.,2001,NA,NA,,NA,NA,Virginia,USA,brackish-marsh_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,7,70,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Tobias et al.,2001,NA,NA,,NA,NA,Virginia,USA,brackish-marsh_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,1,7,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Kelso et al.,1997,NA,North_River,,NA,NA,Massachusetts,USA,river_altternate-freshwater-oligohaline_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,6,10,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Unknown,,NA,NA,,NA,NA,Northern_Ireland,UK,river_Burgin-2007,,yes,NA,NA,NA,NA,15N-assay,high,estimated,NA,,NA,NA,NA,NA,,NA,NA,,5,9,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
