# Instuctions,# List each paper once for each ecosystem type they investigated,"# Also if any papers did both microbial and rates, list them twice",# Enter either rates or microbial,"# If you find others, add them—just make sure to keep them lowercase with underscores and consistent wording each time","# Notes are optional, but if you come across something odd or an uncertainty you can add it here"
Author (First et al. OR First and Second),Year,Title,Study_type,Ecosystem_type,Notes
Pang et al.,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,rates,lakes,
Pang et al.,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,microbial,lakes,
Wang et al.,2020,Hotspot of dissimilatory nitrate reduction to ammonium (DNRA) process in freshwater sediments of riparian zones,rates,lake_riparian,
Wang et al.,2020,Hotspot of dissimilatory nitrate reduction to ammonium (DNRA) process in freshwater sediments of riparian zones,microbial,lake_riparian,
Pang and Ji,2019,Biotic factors drive distinct DNRA potential rates and contributions in typical Chinese shallow lake sediments,rates,lakes,
Pang and Ji,2019,Biotic factors drive distinct DNRA potential rates and contributions in typical Chinese shallow lake sediments,microbial,lakes,
Nogaro and Burgin,2014,Influence of bioturbation on denitrification and dissimilatory nitrate reduction to ammonium (DNRA) in freshwater sediments,rates,lakes,
Nogaro and Burgin,2014,Influence of bioturbation on denitrification and dissimilatory nitrate reduction to ammonium (DNRA) in freshwater sediments,microbial,lakes,"not sure, if should be added for microbial rates too, no DNA extraction n qPCR"
Li et al.,2020,Comparison of Community and Function of Dissimilatory Nitrate Reduction to Ammonium (DNRA) Bacteria in Chinese Shallow Lakes with Different Eutrophication Degrees,microbial,lakes,
Li et al.,2020,Comparison of Community and Function of Dissimilatory Nitrate Reduction to Ammonium (DNRA) Bacteria in Chinese Shallow Lakes with Different Eutrophication Degrees,rates,lakes,"Did not measure DNRA directly, mesured TN, NO3-, NH4+"
Zhu et al.,2018,Biogeochemical sulfur cycling coupling with dissimilatory nitrate reduction processes in freshwater sediments,rates,review_all_freshwater,
Zhu et al.,2018,Biogeochemical sulfur cycling coupling with dissimilatory nitrate reduction processes in freshwater sediments,microbial,review_all_freshwater,
Palacin-Lizarbe et al.,2019,The DNRA-Denitrification Dichotomy Differentiates Nitrogen Transformation Pathways in Mountain Lake Benthic Habitats,rates,lakes,"Did not measure DNRA directly, mesured NO3-, NO2-, NH4+ (DIN)"
Palacin-Lizarbe et al.,2019,The DNRA-Denitrification Dichotomy Differentiates Nitrogen Transformation Pathways in Mountain Lake Benthic Habitats,microbial,lakes,
Washbourne et al.,2011,Dissimilatory nitrate reduction pathways in an oligotrophic freshwater ecosystem: spatial and temporal trends,rates,lakes,
Washbourne et al.,2011,Dissimilatory nitrate reduction pathways in an oligotrophic freshwater ecosystem: spatial and temporal trends,rates,streams,
Robertson and Thamdrup,2017,The fate of nitrogen is linked to iron(II) availability in a freshwater lake sediment,rates,lakes,
Jiang et al.,2020,"Denitrification and dissimilatory nitrate reduction to ammonium in freshwater lakes of the Eastern Plain, China: Influences of organic carbon and algal bloom",rates,lakes,
Scott et al. ,2008,"Denitrification, dissimilatory nitrate reduction to ammonium, and nitrogen fixation along a nitrate concentration gradient in a created freshwater wetland",rates,constructed_wetlands,
Giannopoulos et al.,2020,Trace Metal Availability Affects Greenhouse Gas Emissions and Microbial Functional Group Abundance in Freshwater Wetland Sediments,microbial,wetlands,
Morrissey,2013,Resource Availability Effects on Nitrate-Reducing Microbial Communities in a Freshwater Wetland,microbial,wetlands,
Tang et al. ,2021,Mechanisms and risks of joint control of nitrogen and phosphorus through sediment capping technology in a pilot-scale study,rates,pilotscale_experiment _in_pond,Not sure if it falls under our freshwater ecosystem criteria
Li et al.,2022,Denitrification and dissimilatory nitrate reduction to ammonia in long-term lake sediment microcosms with iron(II),rates,lakes,
Li et al.,2022,Denitrification and dissimilatory nitrate reduction to ammonia in long-term lake sediment microcosms with iron(II),microbial,lakes,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,rates,wetlands,
Marzocchi et al. ,2021,Dissimilatory nitrate reduction by a freshwater cable bacterium,rates,lakes,
Marzocchi et al. ,2021,Dissimilatory nitrate reduction by a freshwater cable bacterium,microbial,lakes,
Henson et al.,2017,Nitrate reduction mechanisms and rates in an unconfined eogenetic karst aquifer in two sites with different redox potential,rates,freshwater_karst_aquifer,Not sure if it falls under our criteria
Henson et al.,2017,Nitrate reduction mechanisms and rates in an unconfined eogenetic karst aquifer in two sites with different redox potential,microbial,freshwater_karst_aquifer,Not sure if it falls under our criteria
Burgin and Hamilton,2008,NO(3)(-)-driven SO(4)(2-) production in freshwater ecosystems: Implications for N and S cycling,rates,streams,
Burgin and Hamilton,2008,NO(3)(-)-driven SO(4)(2-) production in freshwater ecosystems: Implications for N and S cycling,rates,wetlands,
